,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Namibe,0,AO,1553477746,100,-15.19,12.15,76.07,7.63
1,Bud,0,NO,1553477473,74,62.91,6.91,37.4,18.34
2,Neijiang,36,CN,1553477750,85,29.59,105.06,59.24,3.94
3,Rikitea,20,PF,1553477751,98,-23.12,-134.97,79.49,12.66
4,Liverpool,75,GB,1553477666,70,53.41,-2.98,46.4,16.11
5,Santa Marta,40,CO,1553477614,58,11.24,-74.21,86.0,20.8
6,Grindavik,90,IS,1553477381,100,63.84,-22.43,34.0,17.22
7,Wanning,68,AT,1553477748,87,48.64,13.53,48.0,4.0
8,Vaini,20,IN,1553475600,60,15.34,74.49,73.4,3.71
9,Saskylakh,68,RU,1553477765,78,71.97,114.09,1.82,4.5
10,Jamestown,76,AU,1553477767,70,-33.21,138.6,60.05,15.46
11,Saint-Philippe,90,CA,1553477768,92,45.36,-73.48,33.01,9.17
12,Namatanai,68,PG,1553477770,100,-3.66,152.44,82.55,9.42
13,Port Elizabeth,1,US,1553477766,37,39.31,-74.98,55.4,3.36
14,Qaanaaq,0,GL,1553477774,82,77.48,-69.36,-27.35,6.96
15,Duku,20,NG,1553477776,57,11.24,4.91,71.3,4.5
16,Mataura,48,NZ,1553477408,88,-46.19,168.86,66.0,14.12
17,Kaitangata,92,NZ,1553477779,71,-46.28,169.85,72.11,8.08
18,Pevek,92,RU,1553477507,88,69.7,170.27,3.98,14.12
19,Avarua,48,CK,1553475600,83,-21.21,-159.78,82.4,9.17
20,Kavieng,64,PG,1553477515,98,-2.57,150.8,85.07,8.75
21,Saint George,0,GR,1553477621,73,39.45,22.34,51.01,1.14
22,Chifeng,0,CN,1553477787,59,42.27,118.96,44.93,7.52
23,Tuktoyaktuk,75,CA,1553475600,79,69.44,-133.03,23.0,14.99
24,Naryan-Mar,80,RU,1553477790,84,67.67,53.09,28.55,11.77
25,Manaure,0,CO,1553472000,74,11.78,-72.45,80.6,11.41
